city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Luderitz,0,NA,1574706675,59,-26.65,15.16,67.08,28.88
Deputatskiy,0,RU,1574706675,95,69.3,139.9,-32.64,3.58
Kutum,0,SD,1574706675,14,14.2,24.66,70.63,7.45
Pekalongan,91,ID,1574706675,87,-6.89,109.67,76.14,4.5
Russell,1,US,1574706675,34,38.9,-98.86,55.0,17.22
Korem,78,ET,1574706676,92,12.51,39.52,55.98,5.53
Coquimbo,0,CL,1574706676,49,-29.95,-71.34,77.0,16.11
Cape Town,0,ZA,1574706377,64,-33.93,18.42,69.01,5.82
Harper,1,US,1574706676,15,30.3,-99.24,82.4,12.75
Kaitangata,41,NZ,1574706676,76,-46.28,169.85,53.33,13.02
Klaksvik,100,FO,1574706676,87,62.23,-6.59,46.4,12.75
Ostrovnoy,100,RU,1574706676,97,68.05,39.51,27.68,12.57
Loikaw,3,MM,1574706676,92,19.67,97.21,58.05,0.94
Constantine,90,DZ,1574706676,76,36.36,6.61,51.8,9.17
Orange Cove,1,US,1574706677,54,36.62,-119.31,59.0,2.91
Chuy,80,UY,1574706677,59,-33.69,-53.46,71.92,17.4
Jasper,1,US,1574706616,58,33.83,-87.28,61.0,6.93
Haines Junction,99,CA,1574706677,94,60.75,-137.51,4.68,4.14
San Cristobal,97,HN,1574706677,65,14.68,-86.92,77.52,2.39
Cidreira,0,BR,1574706677,72,-30.17,-50.22,69.06,25.37
Kodiak,1,US,1574706677,47,39.95,-94.76,55.4,18.34
Otane,0,NZ,1574706677,93,-39.89,176.62,54.0,1.99
Kayes,0,ML,1574706678,23,14.44,-11.44,95.0,6.93
Mumbwa,94,ZM,1574706678,80,-14.99,27.06,71.58,2.66
Puerto Baquerizo Moreno,75,EC,1574706678,73,-0.9,-89.6,77.0,21.92
Tumbes,20,PE,1574706678,33,-3.57,-80.46,89.6,12.75
Revda,90,RU,1574706678,96,67.94,34.55,24.42,4.38
Dikson,100,RU,1574706678,72,73.51,80.55,3.99,3.56
Connersville,1,US,1574706679,81,39.64,-85.14,55.0,16.11
San Patricio,0,PY,1574706679,29,-26.98,-56.83,98.87,7.18
Lebu,20,ET,1574706679,82,8.96,38.73,59.0,11.41
Salalah,40,OM,1574706679,74,17.01,54.1,80.6,12.75
Lubao,18,CD,1574706679,94,-5.39,25.75,70.66,1.79
Geraldton,90,CA,1574706679,92,49.72,-86.95,23.0,10.29
Leh,100,IN,1574706680,63,34.16,77.58,12.54,4.97
New Norfolk,75,AU,1574706680,93,-42.78,147.06,53.01,10.29
Atuona,24,PF,1574706680,71,-9.8,-139.03,80.31,16.91
Arman,32,RU,1574706680,96,59.7,150.17,1.54,17.13
Mehamn,40,NO,1574706680,74,71.03,27.85,33.8,5.82
Aripuana,41,BR,1574706680,42,-9.17,-60.63,94.23,3.36
Marienburg,90,DE,1574706413,100,52.12,9.98,42.01,4.7
Pine Bluff,1,US,1574706681,52,34.23,-92.0,66.2,13.87
Peterhead,40,AU,1574706681,62,-34.83,138.5,55.99,21.92
Palmer,40,AU,1574706681,73,-34.85,139.16,55.99,21.92
Portales,1,US,1574706681,16,34.19,-103.33,62.01,18.34
Cabo San Lucas,20,MX,1574706424,57,22.89,-109.91,80.01,4.7
Airai,72,TL,1574706681,86,-8.93,125.41,65.1,2.75
Chapais,90,CA,1574706681,92,49.78,-74.86,30.2,6.93
Faanui,97,PF,1574706681,75,-16.48,-151.75,81.07,5.39
Itoman,75,JP,1574706418,68,26.12,127.67,71.6,14.99
Kruisfontein,83,ZA,1574706682,86,-34.0,24.73,60.6,15.61
Saint-Philippe,20,CA,1574706682,79,45.36,-73.48,44.6,16.11
Fiumicino,0,IT,1574706682,87,41.77,12.23,59.0,4.7
Berlevag,40,NO,1574706682,92,70.86,29.09,33.8,5.82
Hambantota,75,LK,1574706682,100,6.12,81.12,75.2,12.75
Victoria,75,BN,1574706612,94,5.28,115.24,77.0,4.7
Antalaha,100,MG,1574706683,77,-14.9,50.28,81.45,11.5
Pangkalanbuun,24,ID,1574706683,88,-2.68,111.62,74.44,1.7
Northam,0,AU,1574706683,39,-31.65,116.67,66.2,6.93
Trogir,0,HR,1574706683,58,43.52,16.25,57.2,8.05
Dicamay,60,PH,1574706683,93,16.76,122.0,72.75,1.57
Tateyama,100,JP,1574706683,98,36.66,137.31,46.99,1.01
Privodino,50,RU,1574706683,92,61.08,46.5,13.19,5.28
Katsuura,75,JP,1574706683,58,33.93,134.5,53.6,18.34
Bandiagara,0,ML,1574706683,27,14.35,-3.61,87.8,11.41
Lompoc,1,US,1574706684,63,34.64,-120.46,69.01,12.75
Sinnamary,100,GF,1574706684,77,5.38,-52.96,83.25,14.2
Yeppoon,1,AU,1574706684,77,-23.13,150.74,68.0,0.89
Ferzikovo,80,RU,1574706684,53,54.52,36.76,21.2,6.71
East London,65,ZA,1574706540,72,-33.02,27.91,66.2,11.41
Rocha,99,UY,1574706684,59,-34.48,-54.34,71.62,16.62
Ndjole,65,GA,1574706684,94,-0.18,10.76,74.59,3.27
Thohoyandou,51,ZA,1574706684,64,-22.97,30.46,79.75,4.0
Nantucket,1,US,1574706685,50,41.28,-70.1,51.8,5.82
Kawardha,11,IN,1574706685,62,22.01,81.23,63.5,2.06
Bhimunipatnam,20,IN,1574706685,83,17.88,83.43,75.2,4.7
Bay Roberts,90,CA,1574706685,93,47.58,-53.28,39.99,19.46
Hamilton,90,CA,1574706685,81,43.26,-79.87,46.99,12.75
Ketchikan,75,US,1574706685,100,55.34,-131.65,35.6,5.82
Vila do Maio,20,CV,1574706685,65,15.13,-23.22,80.6,17.22
Dingle,100,PH,1574706686,90,11.0,122.67,75.11,8.1
Touros,40,BR,1574706686,55,-5.2,-35.46,87.8,14.99
Butaritari,100,KI,1574706686,75,3.07,172.79,83.16,3.24
Dharchula,85,IN,1574706686,59,29.85,80.53,36.0,8.84
Pisco,0,PE,1574706426,30,-13.71,-76.2,71.6,6.93
Jalu,0,LY,1574706686,39,29.03,21.55,62.58,8.48
Cockburn Town,40,TC,1574706686,61,21.46,-71.14,82.4,8.05
Henties Bay,4,NA,1574706686,86,-22.12,14.28,62.01,5.01
Bambous Virieux,40,MU,1574706687,83,-20.34,57.76,79.0,11.41
Half Moon Bay,1,US,1574706687,58,37.46,-122.43,61.0,19.46
Pangnirtung,90,CA,1574706687,74,66.15,-65.72,30.2,9.17
Kamenka,100,MD,1574706687,92,48.03,28.7,30.99,1.01
Kjopsvik,75,NO,1574706687,100,68.1,16.37,33.01,11.41
Tuktoyaktuk,90,CA,1574706687,84,69.44,-133.03,5.0,14.99
Rosa Zarate,76,EC,1574706688,72,0.33,-79.47,83.07,3.22
Portland,40,US,1574706573,45,43.66,-70.25,48.99,12.75
Shelburne,75,CA,1574706688,70,44.08,-80.2,48.2,2.24
Rundu,81,NA,1574706688,35,-17.91,19.77,84.6,3.96
Bathsheba,40,BB,1574706688,79,13.22,-59.52,84.2,18.34
Victor Harbor,40,AU,1574706688,71,-35.55,138.62,55.4,21.92
Makakilo City,40,US,1574706688,94,21.35,-158.09,81.0,4.45
Hauterive,90,CA,1574706688,92,49.18,-68.27,32.0,5.82
Znamenskoye,58,RU,1574706688,96,57.13,73.82,3.61,3.98
Nikolskoye,92,RU,1574706688,79,59.7,30.79,24.01,4.47
Amahai,83,ID,1574706689,72,-3.31,129.0,80.69,4.27
Hovd,100,NO,1574706689,87,63.83,10.7,39.99,2.24
Terenos,75,BR,1574706689,65,-20.44,-54.87,82.4,12.75
Novyy Urengoy,100,RU,1574706689,91,66.08,76.63,6.85,18.3
Floriano,65,BR,1574706689,53,-6.77,-43.02,88.74,8.79
Ilulissat,40,GL,1574706689,39,69.22,-51.1,30.2,10.29
Narsaq,20,GL,1574706689,45,60.91,-46.05,26.6,4.7
Strezhevoy,90,RU,1574706690,91,60.73,77.6,3.2,4.47
Tiksi,41,RU,1574706690,90,71.64,128.87,-30.39,6.96
Tezu,99,IN,1574706690,55,27.93,96.16,66.67,1.61
Vao,100,EE,1574706690,66,59.1,26.19,25.54,4.43
Bouca,55,CF,1574706690,41,6.51,18.28,77.63,5.03
Esperance,40,AU,1574706690,81,-33.86,121.89,46.4,3.36
Nova Prata,5,BR,1574706579,34,-28.78,-51.61,84.0,6.93
Sagna,90,RO,1574706691,100,46.97,27.01,41.0,10.29
Ahipara,13,NZ,1574706691,100,-35.17,173.16,53.01,4.81
Upernavik,100,GL,1574706691,80,72.79,-56.15,31.75,14.25
Cabra,90,ES,1574706691,100,37.47,-4.43,57.2,3.2
Thompson,90,CA,1574706691,85,55.74,-97.86,21.2,5.82
Port Hedland,13,AU,1574706691,88,-20.31,118.58,80.6,8.05
Vieste,75,IT,1574706691,87,41.88,16.18,55.4,3.36
Richards Bay,0,ZA,1574706691,78,-28.77,32.06,72.57,4.88
Swan Hill,82,AU,1574706691,68,-35.34,143.56,54.05,20.29
Sovetskiy,100,RU,1574706556,62,56.76,48.47,20.19,9.06
Bima,4,ID,1574706691,95,-8.45,118.73,71.31,1.28
Yulara,100,AU,1574706691,77,-25.24,130.99,69.8,6.93
Japura,19,ID,1574706692,97,-0.42,102.29,73.18,0.72
Puerto Colombia,40,CO,1574706692,56,10.99,-74.96,93.2,4.7
Sarab,32,IR,1574706692,60,38.61,44.99,35.55,0.81
Verkh-Usugli,100,RU,1574706692,87,52.7,115.17,4.78,5.66
Ancud,75,CL,1574706692,81,-41.87,-73.83,53.6,12.75
Saskylakh,100,RU,1574706692,95,71.97,114.09,-8.72,10.67
Sudislavl,76,RU,1574706692,63,57.88,41.71,23.07,7.23
Gainesville,1,US,1574706692,42,29.65,-82.33,66.0,6.93
Westport,40,US,1574706693,61,41.14,-73.36,52.0,16.11
Fortuna,20,US,1574706693,76,40.6,-124.16,53.01,11.41
Zhanaozen,0,KZ,1574706693,38,43.35,52.85,27.1,9.91
Whitefish,1,US,1574706693,74,48.41,-114.33,33.8,0.78
Shingu,100,JP,1574706693,63,33.72,135.99,60.58,7.25
Muisne,75,EC,1574706693,70,0.61,-80.02,87.8,10.29
Delta,75,US,1574706693,64,38.74,-108.07,43.0,5.82
Skierniewice,90,PL,1574706693,100,51.96,20.14,37.99,9.17
Mizque,53,BO,1574706693,30,-17.94,-65.34,80.28,10.04
Codrington,1,AU,1574706694,87,-28.95,153.24,71.6,4.7
Umm Lajj,0,SA,1574706694,39,25.02,37.27,70.92,5.73
Opuwo,98,NA,1574706694,28,-18.06,13.84,80.01,11.86
Kiunga,100,PG,1574706694,94,-6.12,141.3,71.15,1.43
Obihiro,0,JP,1574706547,74,42.92,143.2,23.13,5.53
Port Hardy,20,CA,1574706611,93,50.7,-127.42,39.2,9.17
Camacha,20,PT,1574706694,68,33.08,-16.33,68.0,3.36
Hofn,98,IS,1574706694,64,64.25,-15.21,37.4,16.11
Mount Gambier,75,AU,1574706694,93,-37.83,140.78,46.4,8.05
Villaviciosa,100,ES,1574706694,82,43.48,-5.43,57.99,2.24
Mae Ramat,4,TH,1574706694,90,16.98,98.52,65.46,2.1
Sao Filipe,0,CV,1574706695,79,14.9,-24.5,75.85,13.31
Malanje,89,AO,1574706695,96,-9.54,16.35,65.79,2.06
Iqaluit,75,CA,1574706695,80,63.75,-68.52,30.2,10.29
Houma,42,CN,1574706695,24,35.63,111.36,29.25,5.23
Cayenne,100,GF,1574706605,70,4.94,-52.33,86.0,12.75
Carutapera,30,BR,1574706695,77,-1.2,-46.02,82.24,13.29
Norman Wells,90,CA,1574706695,92,65.28,-126.83,14.0,14.99
Emerald,0,AU,1574706695,69,-23.53,148.16,73.4,9.17
Arraial do Cabo,40,BR,1574706696,50,-22.97,-42.02,78.8,9.17
Oktyabrskiy,100,RU,1574706696,78,55.61,37.97,26.6,6.71
Clyde River,90,CA,1574706696,92,70.47,-68.59,15.8,10.29
North Platte,1,US,1574706612,29,41.12,-100.77,51.8,11.41
Hithadhoo,98,MV,1574706696,81,-0.6,73.08,83.32,17.29
Delijan,12,IR,1574706696,71,33.99,50.69,36.68,3.62
Kutulik,61,RU,1574706696,97,53.35,102.79,-2.29,6.96
Pringsewu,8,ID,1574706696,98,-5.36,104.98,71.98,2.1
Flinders,25,AU,1574706696,100,-34.58,150.85,66.0,2.95
Adre,0,TD,1574706696,12,13.47,22.2,74.21,10.07
Nanortalik,0,GL,1574706697,61,60.14,-45.24,35.55,3.06
Tautira,20,PF,1574706593,74,-17.73,-149.15,84.2,12.75
San Quintin,69,PH,1574706697,76,17.54,120.52,74.68,10.0
Praya,40,ID,1574706651,88,-8.71,116.27,77.0,2.46
Dunedin,40,NZ,1574706697,80,-45.87,170.5,55.99,5.01
Werda,0,BW,1574706697,6,-25.27,23.28,84.22,4.72
Pampa,1,US,1574706662,30,35.54,-100.96,59.0,14.99
Anadyr,90,RU,1574706698,80,64.73,177.51,30.2,38.03
Pangoa,0,PE,1574706698,44,-12.12,-73.0,90.03,5.3
Kolyvan,75,RU,1574706698,85,55.31,82.74,10.4,3.51
Flin Flon,90,CA,1574706616,92,54.77,-101.88,24.8,8.05
Tuatapere,56,NZ,1574706698,78,-46.13,167.69,57.0,8.01
Parana,40,BR,1574706698,55,-7.52,-72.89,91.4,9.17
Aklavik,90,CA,1574706698,92,68.22,-135.01,6.8,3.36
Princeton,1,US,1574706482,50,40.35,-74.66,53.6,5.82
Bikin,0,RU,1574706698,90,46.82,134.25,5.59,5.12
Chicama,90,PE,1574706698,73,-7.84,-79.15,71.6,12.75
Catarman,100,PH,1574706698,87,12.5,124.64,78.76,12.82
Beidao,81,CN,1574706698,81,34.57,105.89,35.13,2.48
Provideniya,100,RU,1574706699,96,64.42,-173.23,25.32,26.73
Ginir,93,ET,1574706699,92,7.14,40.71,58.44,5.44
Mnogovershinnyy,97,RU,1574706699,88,53.94,139.92,4.15,22.93
Nalut,0,LY,1574706699,40,31.86,10.98,56.34,11.07
Mamburao,12,PH,1574706699,69,13.22,120.6,82.8,5.73
Ambilobe,59,MG,1574706699,76,-13.19,49.05,78.55,10.96
Isabela,20,PH,1574706699,91,10.2,122.99,70.95,2.93
Kinablangan,99,PH,1574706699,88,7.69,126.55,71.47,4.21
Noumea,100,NC,1574706699,82,-22.28,166.46,77.0,3.36
Nhulunbuy,0,AU,1574706700,71,-12.18,136.78,81.66,5.57
Abonnema,75,NG,1574706700,83,4.71,6.79,82.4,4.7
Zheshart,85,RU,1574706700,92,62.09,49.59,12.45,6.17
Sinazongwe,58,ZM,1574706700,63,-17.26,27.46,81.77,3.56
Port Blair,21,IN,1574706700,75,11.67,92.75,82.02,15.84
Sabang,31,PH,1574706700,94,13.8,121.11,78.01,4.0
Jiaozuo,0,CN,1574706700,16,35.21,113.25,32.9,4.09
Bambanglipuro,57,ID,1574706700,91,-7.95,110.28,74.84,3.49
Sobolevo,60,RU,1574706700,70,54.43,31.9,23.22,7.4
Pevek,100,RU,1574706701,70,69.7,170.27,4.03,1.1
Viedma,72,AR,1574706701,45,-40.81,-62.99,72.84,11.05
Lagoa,75,PT,1574706447,100,37.14,-8.45,62.01,5.82
Saint George,40,GR,1574706701,93,39.45,22.34,53.6,3.36
Puerto Escondido,20,MX,1574706701,66,15.86,-97.07,86.0,6.93
Toora-Khem,73,RU,1574706701,95,52.47,96.11,-2.72,0.76
Taywarah,0,AF,1574706702,70,33.35,64.42,25.47,1.83
Kiama,25,AU,1574706702,100,-34.67,150.86,73.0,2.95
Shagonar,66,RU,1574706702,89,51.54,92.92,-2.09,3.38
Ginda,0,IN,1574706702,57,30.69,78.49,46.27,4.09
Husavik,100,CA,1574706702,94,50.56,-96.99,32.0,4.0
Znamenka,90,RU,1574706702,43,52.41,41.44,21.7,7.05
Uvira,100,CD,1574706702,94,-3.41,29.14,52.39,0.54
Suhbaatar,99,MN,1574706702,97,50.23,106.21,0.9,1.99
Sambava,83,MG,1574706702,90,-14.27,50.17,73.35,2.01
Innisfail,93,AU,1574706703,81,-17.52,146.03,73.76,1.05
Uthal,19,PK,1574706703,40,25.81,66.62,76.59,3.53
Ferrol,40,ES,1574706703,77,43.48,-8.23,60.01,11.41
Laguna,40,BZ,1574706703,74,16.17,-88.94,84.2,4.7
Weyburn,100,CA,1574706457,86,49.67,-103.85,30.0,18.01
Kommunisticheskiy,92,RU,1574706703,96,61.68,64.48,4.84,8.21
Amarante do Maranhao,49,BR,1574706703,51,-5.57,-46.74,90.93,2.8
Bubaque,0,GW,1574706703,69,11.28,-15.83,83.3,13.11
Jiangyou,100,CN,1574706704,93,31.78,104.73,35.58,2.01
Alihe,95,CN,1574706704,87,50.57,123.73,-0.92,3.42
Alto Araguaia,75,BR,1574706704,49,-17.32,-53.22,87.69,7.76
Port Elizabeth,1,US,1574706704,46,39.31,-74.98,55.4,5.82
Souillac,75,FR,1574706704,93,45.6,-0.6,53.6,8.05
Kastamonu,86,TR,1574706704,60,41.38,33.78,43.75,3.6
Monterey,1,US,1574706519,62,36.6,-121.89,59.0,4.7
Mao,20,DO,1574706705,52,19.55,-71.08,88.0,4.7
Tarashcha,4,UA,1574706705,64,49.56,30.49,26.51,7.29
Shenandoah,1,US,1574706705,37,40.77,-95.37,55.4,17.22
Buta,100,CD,1574706705,77,2.79,24.73,75.29,1.39
Tyret Pervaya,43,RU,1574706706,93,53.67,102.31,-0.56,5.97
Petropavlovsk-Kamchatskiy,0,RU,1574706645,49,53.05,158.65,24.8,11.18
Margate,75,AU,1574706706,93,-43.03,147.26,53.01,10.29
Adrar,0,DZ,1574706706,26,27.87,-0.29,69.8,8.05
Mareeba,75,AU,1574706706,78,-16.99,145.42,75.2,2.24
Mayo,90,CA,1574706706,92,63.59,-135.9,19.4,4.7
Alofi,100,NU,1574706706,94,-19.06,-169.92,73.4,9.17
Dubrovnik,40,HR,1574706706,77,42.65,18.09,59.0,3.36
Chop,94,UA,1574706707,82,48.43,22.21,46.99,1.99
Belyy Yar,98,RU,1574706707,83,53.6,91.39,-4.0,2.24
Najran,75,SA,1574706707,46,17.54,44.22,73.4,6.93
Yichang,80,CN,1574706707,42,30.77,111.32,37.96,1.25
Osmena,93,PH,1574706707,80,12.17,124.59,81.01,12.39
Yerbogachen,16,RU,1574706707,94,61.28,108.01,-19.64,9.78
Todos Santos,40,MX,1574706707,57,23.45,-110.23,80.01,8.05
Aswan,3,EG,1574706679,22,24.09,32.9,77.0,8.05
Vostok,23,RU,1574706708,94,46.45,135.83,-4.13,5.12
Imeni Poliny Osipenko,55,RU,1574706708,78,52.42,136.49,-3.82,3.6
Arlit,0,NE,1574706708,11,18.74,7.39,89.28,8.68
Nsanje,32,MZ,1574706708,73,-16.92,35.26,80.83,7.85
Choya,50,RU,1574706708,92,52.01,86.55,11.66,2.39
Balabac,27,PH,1574706708,83,7.99,117.06,80.26,6.53
Marawi,58,PH,1574706708,90,8.0,124.29,75.99,5.01
Evensk,100,RU,1574706708,97,61.92,159.24,-2.54,14.27
Tiarei,20,PF,1574706709,74,-17.53,-149.33,84.2,12.75
Mildura,63,AU,1574706709,58,-34.18,142.16,55.4,11.41
Fare,92,PF,1574706709,76,-16.7,-151.02,81.64,7.09
Zaozerne,86,UA,1574706709,82,51.37,23.94,31.46,10.0
Port Shepstone,26,ZA,1574706709,93,-30.74,30.45,64.99,3.4
Port-Gentil,20,GA,1574706709,88,-0.72,8.78,80.6,10.29
Lisakovsk,89,KZ,1574706709,91,52.55,62.49,4.57,4.85
Huanren,0,CN,1574706709,84,41.26,125.37,-3.3,1.92
Vikhorevka,96,RU,1574706709,83,56.12,101.17,-5.01,6.71
Denpasar,40,ID,1574706681,88,-8.65,115.22,80.6,4.7
Inhambane,20,MZ,1574706710,78,-23.87,35.38,80.6,10.49
Rabo de Peixe,75,PT,1574706710,77,37.8,-25.58,66.2,17.22
Changli,97,CN,1574706710,80,30.54,105.42,49.03,3.98
Acari,51,BR,1574706710,31,-6.44,-36.64,93.61,11.34
Quatre Cocos,40,MU,1574706710,83,-20.21,57.76,79.0,11.41
Erzin,75,TR,1574706710,33,36.95,36.2,64.0,4.5
Huarmey,0,PE,1574706711,48,-10.07,-78.15,79.07,12.88
Lazaro Cardenas,90,MX,1574706711,44,28.39,-105.62,66.99,0.4
Spokoynaya,0,RU,1574706711,9,44.25,41.4,34.0,20.0
Middelburg,90,NL,1574706680,87,51.5,3.61,51.01,11.41
Kishapu,98,TZ,1574706711,87,-3.61,33.87,67.91,1.19
Nishihara,90,JP,1574706711,81,35.74,139.53,54.0,9.17
Turangi,17,NZ,1574706711,94,-39.0,175.93,50.92,0.51
Constitucion,90,MX,1574706712,27,23.99,-104.67,66.99,2.24
Roald,40,NO,1574706712,93,62.58,6.12,41.0,4.7
Comodoro Rivadavia,75,AR,1574706712,25,-45.87,-67.48,73.4,20.8
Guerrero Negro,100,MX,1574706712,57,27.97,-114.04,69.04,11.65
Vryburg,0,ZA,1574706712,7,-26.96,24.73,81.63,13.65
Vuktyl,100,RU,1574706712,94,63.86,57.31,9.64,11.56
Hefei,90,CN,1574706712,93,31.82,117.22,39.2,4.47
Saint Andrews,91,NZ,1574706712,96,-44.53,171.19,54.0,4.07
Hokitika,49,NZ,1574706712,76,-42.72,170.96,52.38,6.62
Askiz,86,RU,1574706712,98,53.13,90.53,2.16,0.58
Contamana,28,PE,1574706713,39,-7.35,-75.01,94.12,3.47
Omsukchan,100,RU,1574706713,98,62.53,155.8,-24.7,6.4
Muhos,90,FI,1574706713,96,64.81,26.0,32.0,5.82
Ayan,0,IR,1574706713,73,38.23,44.7,26.02,1.88
Vysokogornyy,94,RU,1574706713,97,50.1,139.13,-3.3,6.73
Kabanjahe,40,ID,1574706713,94,3.1,98.49,78.8,3.36
Gaoyou,0,CN,1574706713,73,32.79,119.43,43.0,1.01
Lorengau,66,PG,1574706713,76,-2.02,147.27,82.56,11.99
Buraydah,0,SA,1574706713,88,26.33,43.97,66.2,8.05
Byron Bay,49,AU,1574706621,83,-28.65,153.62,73.0,9.17
Ardabil,100,IR,1574706714,77,38.25,48.3,26.29,7.47
Chambersburg,1,US,1574706610,46,39.94,-77.66,55.0,9.17
Yangambi,85,CD,1574706714,93,0.77,24.47,71.94,2.71
